,sample,name,wavelength,cost,redchi,bic,aic,gamma,gamma_std,n1,n1_std,m1,m1_std,g2,g2_std,alpha2,alpha2_std,norm,bb_ratio,asymmetry_factor
0,Arizona,Arizona dust,405,0.3306722234516542,0.13939219955528406,-316.31553802506636,-332.02385580757965,0.998120188772679,0.01718246191993006,1.1270855920165324,0.04405538895433292,3.5066664864752055,0.13926352890322247,-0.9107170478835364,0.5925548695044339,2.4996054131916883,13.613328654374582,0.9889821235017087,0.021524227549335247,0.9082304215494132
0,Arizona,Arizona dust,443,0.33396411046044866,0.14412182328064138,-310.6097130616649,-326.31803084417817,0.9988812300913035,0.004334456554534951,1.1117062349271463,0.04097377770174466,3.5000000000000004,0.1457453525597584,-0.8867772793944958,0.48758065580012944,2.499999998394133,11.800404759832938,0.9875239956763255,0.01756675974520611,0.9192519182158175
0,Arizona,Arizona dust,515,0.30311300921754347,0.11971720187831718,-342.33476618168703,-358.0430839642003,0.9985637997873456,0.006827726894615421,1.1033428464004427,0.035387672394134304,3.5000000000000004,0.13547359409178333,-0.8990899182894025,0.4239987356983304,2.499999999988951,9.972980101791078,0.9870331093112822,0.016367588616004417,0.9234184988537992
0,Arizona,Arizona dust,658,0.31911921571550317,0.13352363393522787,-323.6707685639666,-339.3790863464799,0.9986629672269997,0.005364352313243882,1.090996980330806,0.03399645123652555,3.5000000000000004,0.1469034927199343,-0.8951241536039564,0.39383377247119655,2.4999999951122955,9.263919147789949,0.9861800825392,0.014062652730105492,0.9306266050941917
0,Chlorella,$\it{C. autotrophica}$,405,0.29228895992851184,0.18949412565722,-171.05925926947268,-184.74025151144517,0.9970628035885373,0.0012987208507917233,1.0598482186252247,0.03444040317929707,3.500000000062621,0.2228161048975148,-0.7963174128353929,0.19473900414849957,2.4999999986141415,3.737483853423424,0.9829864223592023,0.010366884816563815,0.9437591011507491
0,Chlorella,$\it{C. autotrophica}$,443,0.3994492962757412,0.30031580643877615,-118.56492866768683,-132.2459209096593,0.997185320971639,0.0013124672756272744,0.9525699271355605,0.03293725566993654,3.500000000000001,0.2645831658587498,-0.7854302333223936,0.22004047152806458,2.4999999999454974,4.076471410602344,0.9808862183037989,0.008288782890292739,0.9497477970384899
0,Chlorella,$\it{C. autotrophica}$,515,0.2952459139893538,0.1929256374273955,-169.01332504039723,-182.69431728236972,0.9971194198464767,0.0010437537889017698,1.053682887445896,0.03111390146868314,3.500000000240968,0.22315187421254098,-0.7790552461800999,0.1886762889268056,2.4999999943719087,3.5070487872403935,0.982034987742385,0.009324572755783791,0.9467979263426699
0,Chlorella,$\it{C. autotrophica}$,658,0.30673823768999087,0.1985821397859315,-165.71895296882013,-179.39994521079262,0.9969441110553582,0.0013117128333824941,0.9510055368451015,0.02789652233540498,3.5000000000000004,0.21745096270302183,-0.8032962810242872,0.16827542806201748,2.3211405702788404,2.95667518203242,0.9811983853745156,0.008772501876909351,0.9485768089277756
0,Cylindrotheca,$\it{C. closterium}$,405,0.1589551522225577,0.061083674399022105,-300.1201856355,-313.80117787747247,0.9978455626642856,0.0009171310132022642,0.9508908121281815,0.016045167848010265,3.510394147349938,0.12634959842441118,-0.8692223150919882,0.09504423602121623,1.2842226593855295,1.0639248548501845,0.9826858894115955,0.008084702854536566,0.9511356429863674
0,Cylindrotheca,$\it{C. closterium}$,443,0.3392197026208347,0.2035946794524299,-162.87712277918286,-176.55811502115534,0.9979361135630723,0.0008815308511848814,0.9599870582642475,0.021528330917533714,3.5000000000000004,0.20208830558503701,-0.8023960094989504,0.17678417265344143,2.2252089274708164,3.0155698895288556,0.9791743267792667,0.006422033192894659,0.9543034773902622
0,Cylindrotheca,$\it{C. closterium}$,515,0.12969828180481952,0.03483240985139375,-364.15357121744415,-377.83456345941664,0.998123886164387,0.00042852621711260197,0.9600711132116391,0.009864402609892126,3.5000000000000004,0.09395808917010423,-0.8559959983777362,0.06397514099975916,1.1779198497349368,0.6590791642096435,0.9791484961057916,0.006213489322892047,0.9547352686186642
0,Cylindrotheca,$\it{C. closterium}$,658,0.27645757017614675,0.13463434219362072,-210.02394599665752,-223.70493823863,0.9982516908199981,0.0005547773364794272,1.0359505069268242,0.015107846657716898,3.5000000000000004,0.15639192104494767,-0.7916015983198389,0.14769281944691612,2.284396294314319,2.553993568168349,0.9780222486639861,0.005520067035707419,0.9563173144147201
0,Dunaliella,$\it{D. salina}$,405,0.2253384773174812,0.08468018940074835,-401.5436234956197,-417.251941278133,0.9979139887689323,0.007814969004336234,1.164714210286766,0.05275331719276687,3.6666421624464545,0.14250059525313982,-0.8874720656125953,0.47905689123027523,2.4890664927889348,11.753667306244475,0.9977475946598099,0.042549393646916615,0.8497760127458186
0,Dunaliella,$\it{D. salina}$,443,0.14463746674974945,0.038177407321336454,-537.7686827913549,-553.4770005738682,0.9977050835464857,0.001816835821368512,1.1266234475687367,0.027832556579958777,3.6313569177790574,0.09587882337991305,-0.8934854949598756,0.1381936927069512,1.2667780189218634,1.8019329779390314,0.996335854901774,0.02998466105220631,0.8877578220950444
0,Dunaliella,$\it{D. salina}$,515,0.12225274337146567,0.023507639148210344,-620.6897412992666,-636.3980590817799,0.9967986750138136,0.006597626776823402,1.2431636235828785,0.03720973097612625,3.646944863625918,0.06906685427543345,-0.8895126678719804,0.24729047673091567,2.4999216886242412,6.0517485190842955,0.997908423202801,0.06102250375917756,0.796637944627959
0,Dunaliella,$\it{D. salina}$,658,0.07355504645501015,0.0130731763417073,-721.0261997597075,-736.7345175422208,0.9972395553163949,0.0029564715959237687,1.1879688550286744,0.025221312119622828,3.817938695990072,0.06206937814195626,-0.8739721039609916,0.19429858512053003,2.4999999892541735,4.868635874383054,0.9994881658833097,0.06766123199700995,0.7790869660981617
0,Karenia,$\it{K. mikimotoi}$,405,0.09501777575266514,0.021905938663669206,-417.0256881060691,-430.7066803480416,0.9981511846397887,0.0002731163597579428,1.06542563563526,0.012274207184468366,3.6217106439000584,0.07817181314113388,-0.7093901809528705,0.13869435978741126,2.499999792627139,2.5915353472798457,0.993982230093798,0.014198512437969725,0.9386636921154943
0,Karenia,$\it{K. mikimotoi}$,443,0.1269815146417403,0.0330992453122466,-369.97187916951276,-383.65287141148525,0.9973756531606335,0.00031158259191824773,1.0725408429815122,0.019302033436685476,3.5012870260116324,0.10610282905473861,-0.6509904164643046,0.13017850794884842,2.4998987321259993,2.169662798609992,0.9847056682940419,0.01219107768274234,0.9376090387022228
0,Karenia,$\it{K. mikimotoi}$,515,0.1289068349108279,0.037230396719776064,-356.56376211797055,-370.24475435994304,0.9982104490922246,0.0002851171189138912,1.0750678219892662,0.02058116248136476,3.5000000000000013,0.10903102284063268,-0.6713534152266083,0.1672091808534541,2.4999999966642834,2.917616285486418,0.9847912080468607,0.011743224156286867,0.9381506048039496
0,Karenia,$\it{K. mikimotoi}$,658,0.1514303712207326,0.05062188289240014,-321.53630368682394,-335.21729592879643,0.9961078212984859,0.00043777273124684065,1.0641680614698894,0.022482832734883208,3.5000000000000004,0.13943623199944025,-0.6226988429389748,0.1290707105997329,2.499999999951962,2.031866775024071,0.9835848104351708,0.012024785614053108,0.9390555290592534
0,Skeletonema,$\it{S. cf. costatum}$,405,0.08448583951392225,0.012032908287126415,-485.3245151890367,-499.00550743100916,0.9983762773881143,0.0005733533474626369,0.9521480139371349,0.0053578590136769974,3.5815837898834815,0.043741539896993406,-0.8647783853518004,0.06749570143890306,2.0763341041268406,1.2240234432785073,0.9899765888679875,0.00895030942921316,0.9542448539445136
0,Skeletonema,$\it{S. cf. costatum}$,443,0.14938596696776127,0.040734366160955375,-346.3098531565464,-359.9908453985189,0.9980850789393915,0.001959214505006114,0.947407839912448,0.012634384644116436,3.5000000000000004,0.09114286707072858,-0.8758574348094657,0.1305529466503043,2.499999999989196,2.767449122689918,0.9818320787260477,0.008176265146304373,0.9495913861657167
0,Skeletonema,$\it{S. cf. costatum}$,515,0.1054252525092962,0.023409824344675853,-409.4563154078847,-423.1373076498572,0.9984075601189918,0.000681283800086549,0.9434985318184775,0.01152123350199886,3.5000000000000004,0.07880978588620285,-0.8826969573449555,0.07711451337038468,1.333860324508557,0.9244380727844419,0.9824661816464878,0.00846834683709212,0.9483462218912113
0,Skeletonema,$\it{S. cf. costatum}$,658,0.13198947823179386,0.02831761573739332,-387.75888953004153,-401.439881772014,0.9984263424135991,0.0008530790913010904,0.9588381953491562,0.007592168870150099,3.5000000000000004,0.06860986064073323,-0.8610746057685196,0.09105563274731296,2.499999999983715,1.8987956351230122,0.9794569189513441,0.006091742404292328,0.9550658761047798
