sample,name,wavelength,cost,redchi,bic,aic,n1,n1_std,m1,m1_std,norm,bb_ratio,asymmetry_factor
PF_clear,Petzold clear,514,0.15150626634583003,0.034260296973861196,-106.40450454765391,-109.39751967058687,1.0355125635466726,0.006959189885075181,4.23735452759988,0.05072128871512195,0.9993061955178751,0.04439195713243828,0.8564520214216729
PF_coast,Petzold coast,514,0.17130141494708404,0.048244045643447274,-95.10909120792105,-98.10210633085401,1.0423557142449116,0.010814050539509564,3.827527173557714,0.09313237697591888,0.9932218530783465,0.014156149160050976,0.9374224874555067
PF_turbid,Petzold turbid,514,0.07025268772424803,0.008137188914426637,-153.8434031845134,-156.83641830744637,1.1296434865153362,0.03352406061540885,3.516523308605163,0.10437005997634928,0.9751203031447753,0.020734384203192843,0.8945172905378714
PF_avg-part,Petzold average,514,0.07846056225657233,0.010440692103220453,-145.61762203278118,-148.61063715571416,1.1238003330123456,0.036807298685940265,3.510400886632363,0.11922706953418391,0.9733870335824496,0.019277182629385894,0.89777207099723
Arizona,Arizona dust,405,0.3441569301430511,0.1472889118805436,-319.25488982939606,-325.5382169424014,1.1272078658429163,0.04552498558238318,3.512963737690391,0.1438305175519601,0.9742290099412986,0.020064635882262014,0.8959202476989602
Arizona,Arizona dust,443,0.35381339792028443,0.1558985329732764,-309.54049592219405,-315.8238230351994,1.1141263311223213,0.042643099071834174,3.5000000000003153,0.14795713998740886,0.9701549685672216,0.016940952151518546,0.9026551577595545
Arizona,Arizona dust,515,0.32308290870877326,0.1336873345059982,-335.82347243686394,-342.10679954986927,1.1055794800975745,0.037336841560089776,3.5000000000000004,0.1394982509872525,0.9689701045129961,0.015391183432391053,0.9068751748786316
Arizona,Arizona dust,658,0.34360388908746,0.15161994440207227,-314.29914241007566,-320.582469523081,1.093232472438763,0.035908768324007724,3.5000000000000155,0.1508736115559472,0.9669786983256616,0.013180716698928879,0.9127482972712709
Chlorella,$\it{C. autotrophica}$,405,0.4711035710739123,0.3994793671502855,-97.15097533685159,-102.62337223364058,1.0530083775970376,0.030443958273896857,3.5964668475660906,0.22291580062300187,0.9760560374091766,0.008775139008845977,0.938211351620692
Chlorella,$\it{C. autotrophica}$,443,0.5924940835413042,0.5768859249409631,-55.25797876939134,-60.730375666180336,1.0503820919099494,0.038232565620169565,3.5313456216567563,0.2874607411692864,0.9630208606829629,0.006629017567394811,0.9335013419674856
Chlorella,$\it{C. autotrophica}$,515,0.4966244769220863,0.4416461923112155,-85.71142024880734,-91.18381714559634,1.0484304468624086,0.02811924548700436,3.59467002870107,0.22285395934744465,0.9744487321056832,0.007787326163617362,0.9404588531770789
Chlorella,$\it{C. autotrophica}$,658,0.5078038056511255,0.4728323418007917,-77.93299767879735,-83.40539457558634,1.0465537641264246,0.028468849137571684,3.5740763153181114,0.23267177534803382,0.9703211485241453,0.006913859774367172,0.9397316086789856
Cylindrotheca,$\it{C. closterium}$,405,0.3301454320100784,0.22465765332894885,-162.76759858579447,-168.23999548258345,1.0329926428089173,0.010090601682812433,3.704928658298666,0.11090021903287213,0.9830409210294285,0.007048636214866519,0.9526655443609257
Cylindrotheca,$\it{C. closterium}$,443,0.5203046416004363,0.459353918224079,-81.22986536265938,-86.70226225944837,1.042859262972529,0.027375222110575168,3.524009869240665,0.23723819208618552,0.9578751704604774,0.005231602196131286,0.9340317661614349
Cylindrotheca,$\it{C. closterium}$,515,0.33686504087717806,0.24543207623751975,-152.68515004908107,-158.15754694587005,1.024013326230355,0.006830370307021543,3.7364186952677785,0.09709495619009988,0.9821448681755583,0.0053936855667065416,0.9586945966919187
Cylindrotheca,$\it{C. closterium}$,658,0.4675663216089904,0.39559873080521385,-98.26381206945223,-103.73620896624122,0.9632101249373853,0.01966688223593551,3.5415546568104586,0.1963008583197977,0.9588490202568092,0.0045519011442726005,0.9378603036713142
Dunaliella,$\it{D. salina}$,405,0.2445288009393035,0.09211895612956632,-399.5078064071421,-405.7911335201474,1.1634145827999036,0.053331832371646154,3.6790284046135655,0.14480163533541526,0.9933567880535421,0.04103174259209681,0.8468627204048572
Dunaliella,$\it{D. salina}$,443,0.18889832486414074,0.06594539476773464,-456.6651883672385,-462.9485154802438,1.1154226116026635,0.028228510045075934,3.6921112649404675,0.1053303802128759,0.9923267010348173,0.02909813826692412,0.8835997844376317
Dunaliella,$\it{D. salina}$,515,0.13449965458245408,0.0319862762192859,-580.3871263078192,-586.6704534208245,1.2416341069571266,0.043909586194129296,3.659465823795517,0.08191495507398551,0.9940694590001125,0.058675183991219605,0.795328953731151
Dunaliella,$\it{D. salina}$,658,0.08706804994875977,0.021163358278597017,-651.0162206531868,-657.2995477661921,1.1747662159848167,0.025895642579139542,3.8621131688227037,0.06706994794997723,0.9983844958251539,0.06589930711289933,0.7791605554707941
Karenia,$\it{K. mikimotoi}$,405,0.21409580725081453,0.09888773810511951,-256.3151384036428,-261.7875353004318,1.0378191392387617,0.007088613482395034,3.872355543224725,0.0656174939585993,0.9942950098783538,0.014482727188664437,0.9380562585882668
Karenia,$\it{K. mikimotoi}$,443,0.30567875469161016,0.17184394473841233,-193.3185652656909,-198.79096216247987,1.0301105285492305,0.006962847043732912,3.895033336789234,0.07659595612939121,0.9938852652613187,0.012279243421931605,0.9460321337350334
Karenia,$\it{K. mikimotoi}$,515,0.26368894035406487,0.13424922043443727,-221.46389306954637,-226.93628996633535,1.0406347882281022,0.009579417984719493,3.7860323450664355,0.08659316342215229,0.990999809616153,0.011820814006900174,0.9431799160662739
Karenia,$\it{K. mikimotoi}$,658,0.4062787523012952,0.2926961541575604,-132.60806049304765,-138.08045738983662,1.0244215193977997,0.006999936418503987,3.9380651992243925,0.08875387643047639,0.9941814487238609,0.011503230778207175,0.949919478076305
Skeletonema,$\it{S. cf. costatum}$,405,0.17575383164225195,0.09388745173888503,-262.23042799670833,-267.70282489349734,1.0311149944915885,0.00572746049579336,3.7678707133363094,0.06498326781774412,0.9876795458644226,0.008191663473321186,0.9534179469722639
Skeletonema,$\it{S. cf. costatum}$,443,0.228427678103781,0.12897339093420992,-226.03436001322171,-231.5067569100107,1.0539203084805797,0.020656784279114063,3.512049505346197,0.14485643684531474,0.9597389463632319,0.006786761282256514,0.9295928496545046
Skeletonema,$\it{S. cf. costatum}$,515,0.2283844023656431,0.12192998053153557,-232.43650440756778,-237.90890130435676,1.0426927466418794,0.011493316221928828,3.6382051750575366,0.10206370195117716,0.9788309823722801,0.007690061304603008,0.9454338738966214
Skeletonema,$\it{S. cf. costatum}$,658,0.23249496675240452,0.15238404331674524,-207.0194080922777,-212.49180498906668,0.9642310978296953,0.01096931482428358,3.578480503138331,0.1130702565519288,0.9663543706924722,0.005002665368118951,0.9435718178739255
