sample,name,wavelength,cost,redchi,bic,aic,g1,g1_std,alpha1,alpha1_std,norm,bb_ratio,asymmetry_factor
PF_clear,Petzold clear,514,0.3200471900443123,0.15170884511878874,-57.30129555080936,-60.29431067374232,0.9898368216797798,0.010186677761371235,0.06888404956968479,0.05466672729186035,0.9999737976592392,0.045055937761955246,0.8520917656462967
PF_coast,Petzold coast,514,0.29492852499392325,0.14600731611636253,-58.565408746177965,-61.558423869110925,0.9766912953218754,0.009843557373927425,0.326021542576013,0.055215800207513197,0.9999960062545853,0.014587948368691683,0.9418012903183183
PF_turbid,Petzold turbid,514,0.1092165967633764,0.019461891670151003,-125.06695761856729,-128.05997274150025,0.9567409952714947,0.005501183258736095,0.33986083598313777,0.021764134919846134,1.0000091089173564,0.021145962274796246,0.9152642665420336
PF_avg-part,Petzold average,514,0.12279106926581058,0.02431254870280885,-117.72332425281985,-120.71633937575281,0.9548336676333372,0.006121682371315848,0.36286077553150503,0.02448448001543204,1.0000093938755756,0.019510190334094606,0.9201516112057503
Arizona,Arizona dust,405,0.20410410858706138,0.0804294751177275,-422.7125112477509,-428.99583836075624,0.8827627026873663,0.007783953993592394,0.6027109667960012,0.026070845231653345,1.0000139196898519,0.01845284494623621,0.9082980615417333
Arizona,Arizona dust,443,0.23042496680643423,0.10246969897027589,-381.29863340571524,-387.58196051872056,0.887904806872279,0.008191315042850722,0.6345981129797268,0.028858458815253583,1.000013885529802,0.01539209211540814,0.9199581214698974
Arizona,Arizona dust,515,0.2271960081858934,0.10443954610690992,-378.0425774704182,-384.32590458342355,0.899941335171339,0.00763908330729405,0.6174123042405238,0.027805918705262906,1.0000136019482648,0.014139857205662585,0.926800171542386
Arizona,Arizona dust,658,0.23456165690657294,0.11555718955117696,-360.7447035901921,-367.02803070319743,0.899167426171507,0.007717201361437621,0.6625868027853828,0.02930223181282127,1.0000136289965722,0.011878157399620573,0.9348562634149558
Chlorella,$\it{C. autotrophica}$,405,0.4600194703541918,0.4661282646129319,-79.56092068537274,-85.03331758216173,0.939733274359727,0.012996999771713607,0.5970257952845961,0.06007018678324612,1.000010777085423,0.008087567865582096,0.9569185531922629
Chlorella,$\it{C. autotrophica}$,443,0.5459780637393928,0.63420183960741,-44.45958874027313,-49.93198563706212,0.9325430722307726,0.014967363739172165,0.6938546974003771,0.07213725663856627,1.0000113099165426,0.005803518486654526,0.9646508517692237
Chlorella,$\it{C. autotrophica}$,515,0.5033555092016804,0.5341189957069379,-64.03893030718444,-69.51132720397344,0.9440739542807677,0.01294627891879649,0.6020945105898005,0.06280713580887712,1.0000099708260834,0.007178154934701925,0.9612436563132227
Chlorella,$\it{C. autotrophica}$,658,0.5206030632456291,0.5730803008712673,-56.01251002080363,-61.484906917592625,0.9456247583445141,0.012809503987380249,0.6190980787606664,0.06440560434042858,1.0000095122559884,0.006338535083962898,0.9648257583558023
Cylindrotheca,$\it{C. closterium}$,405,0.3945949104096348,0.3410379496907752,-115.1821679987001,-120.65456489548909,0.9717350344742028,0.006723920833458092,0.4740005507183762,0.04224999898352082,0.999997455651675,0.0069539342512842965,0.9674212339913911
Cylindrotheca,$\it{C. closterium}$,443,0.5232069040710864,0.5660888790568128,-57.41183175125765,-62.884228648046644,0.9520286209140019,0.011058026554046358,0.6424906200135506,0.06152217501725627,1.000007485536193,0.00474261050246601,0.972414120674298
Cylindrotheca,$\it{C. closterium}$,515,0.427675353586245,0.39495018265380016,-98.45085806898209,-103.92325496577108,0.9824200417183331,0.005053555841794901,0.4436507263802649,0.04178575168871409,0.9999712845191984,0.005425908072079522,0.9752954915678723
Cylindrotheca,$\it{C. closterium}$,658,0.5017175952931766,0.5348927178212226,-63.87390997052373,-69.34630686731272,0.9656214689667141,0.008532048435967337,0.587568529694128,0.054850312511300195,1.0000007886526583,0.004285253926647852,0.976625703892362
Dunaliella,$\it{D. salina}$,405,0.23470639069221463,0.09218302175288151,-399.38892301637196,-405.6722501293773,0.891654515814379,0.010160395512385307,0.3605950569510166,0.026807785973745012,1.000012987042159,0.04044870674618661,0.8407363297630027
Dunaliella,$\it{D. salina}$,443,0.2731250951694022,0.1238804498128134,-348.85140887396346,-355.1347359869688,0.9511336141647322,0.007263083827753581,0.2834049368653877,0.024562942225408748,1.0000104493221444,0.03011072799249461,0.885531576160851
Dunaliella,$\it{D. salina}$,515,0.14195658901064198,0.042319353977143995,-532.5178001994673,-538.8011273124725,0.9624693062641507,0.005200113537817902,0.08306259920117806,0.013791003964943165,1.0000088395947553,0.06274068666779502,0.7928679185083022
