sample,name,wavelength,cost,redchi,bic,aic,gamma,gamma_std,n1,n1_std,m1,m1_std,n2,n2_std,m2,m2_std,norm,bb_ratio,asymmetry_factor
PF_clear,Petzold clear,514,0.11397783377056137,0.02290504950109361,-112.56059327170793,-120.04313107904034,0.9566816943678627,0.0751676686629417,1.103385694265096,0.10323976430100822,3.6768218533842876,0.4538519853277099,1.0200751609878178,1551471.652051794,4.9999999960506125,0.40062070988730664,0.9911889181282003,0.04531639381672376,0.8488398128769995
PF_coast,Petzold coast,514,0.16022555445714734,0.043800703900079965,-91.16694078665574,-98.64947859398815,0.9928552244994309,0.12038966803906215,0.9243758450935086,0.1023677992773078,3.531029590964874,0.5498757243331089,1.0219773043205957,2169001.34406554,4.999999816794576,1.2064245144378674,0.9703506131939826,0.014714835462376586,0.9151820778041116
PF_turbid,Petzold turbid,514,0.07025256749333425,0.00900903092156249,-143.35387926300098,-150.83641707033337,0.9999999699043125,0.6626070651057591,1.129640469504045,0.04742230798420443,3.5165326023785837,0.18658407391918713,1.0657343890575384,1006291.0837467139,3.8539421579452284,3173623.3289798815,0.9751216587677517,0.020734350088269096,0.8945186606271334
PF_avg-part,Petzold average,514,0.07846079825685873,0.011559351881412813,-135.12805882201496,-142.61059662934736,0.9608211396229078,935189.5682734213,1.1238002734175905,195.2603517040212,3.5103828121009433,828.8746793563292,0.8765795228047113,4395.621175436552,3.5120934807346287,20507.556709184504,0.9733945877314591,0.01927706694991649,0.8977795121578448
Arizona,Arizona dust,405,0.34415468221595463,0.14995094782824503,-303.8296846069919,-319.5380023895052,0.7610342369091873,1326426.6315175984,1.1272088574297776,325.4577981619029,3.5129080615315114,1255.226559551095,1.1268363278821687,1039.2913531631812,3.5143445674725378,3977.9872990062368,0.9742724873016908,0.020064298375427045,0.895961800528697
Arizona,Arizona dust,443,0.3538134045153388,0.15871641509194215,-294.11503254391977,-309.82335032643306,0.9636088844592476,1325560.4972650143,1.1141238518281997,286.2952109835522,3.5000000000000027,1192.9166324733517,1.1137095965528783,7535.346388150467,3.5017343857900043,31594.87098513023,0.970165838938289,0.016940883387165928,0.902665643494614
Arizona,Arizona dust,515,0.32308308183841483,0.13610346709946958,-320.39836061583094,-336.10667839834423,0.9615940358529049,1272975.3772118054,1.1055809876862965,243.01383547407565,3.5000000000000004,2144.326910627205,1.1055241681984156,6253.177613707419,3.50007459204876,53931.278673430075,0.9689706228150405,0.015391192817989108,0.9068756354543064
Arizona,Arizona dust,658,0.343604139109611,0.15436019602946754,-298.8740053446515,-314.5823231271648,0.630412270443181,1354275.6297059257,1.0932383489420734,529.2891188229089,3.5000000245912886,3373.9721784483454,1.0932207011815134,899.0480413715709,3.500008513816846,5753.589147082622,0.9669792963077211,0.01318072914930937,0.9127488290173331
Chlorella,$\it{C. autotrophica}$,405,0.4711041616651382,0.4104747301470281,-82.94223612074613,-96.6232283627186,0.9968822409307331,97234.36703074904,0.946985826935663,104.80169609119524,3.5963938105671227,1253.4964633255488,0.9491475599096024,33903.8208781352,3.6221714477993507,403120.2312048188,0.9760561114160593,0.008775146825910173,0.9382114941316144
Chlorella,$\it{C. autotrophica}$,443,0.5924952614940445,0.5927635208665859,-41.04938310472809,-54.73037534670057,0.9999999674796384,2.666255344219043,0.9496210875448372,0.09632932319429403,3.531369781436835,1.3704794449542652,0.9779205609671403,1922077.5775474661,3.902211713301607,11658137.728345215,0.9630251675038203,0.006629013934372633,0.933505674691472
Chlorella,$\it{C. autotrophica}$,515,0.49662788081924086,0.4538015999489298,-71.50282293178445,-85.18381517375693,0.9999882174330085,3612.357136433041,0.9515756678937575,6.708504559613518,3.5947197281350087,93.48598843765579,0.9553206166035947,595494.1985379992,3.6467976742241066,8034941.397096521,0.9744547186103256,0.007787375975813628,0.9404648304210772
Chlorella,$\it{C. autotrophica}$,658,0.5078062231594094,0.48584608522419725,-63.724400164252245,-77.40539240622472,0.999999674914908,12.973290217144413,0.9534490814586681,0.23347614389028065,3.5741009589510244,4.081220973551136,0.9793301610532766,642524.5580937746,3.9685569365161113,8115685.186613412,0.9703245978398102,0.006913894653573094,0.9397349887514961
Cylindrotheca,$\it{C. closterium}$,405,0.3238147332860487,0.2157434218686823,-156.26983235644934,-169.95082459842183,0.9963201298519897,0.02454915455952911,0.9537476258120382,0.047762355886310434,3.515351873280015,0.43680311993128557,1.0119846602168223,2064460.1290094396,4.999999982600321,1.1467612713056108,0.9574774185888552,0.007497596166670827,0.9277333045161019
Cylindrotheca,$\it{C. closterium}$,443,0.5203053201203053,0.47199692697589624,-67.02121196395288,-80.70220420592536,0.9997894100712833,4258.861983729124,0.9571385688771927,8.548447621987647,3.523985600845355,144.26604978733016,1.0385507164748051,46715.33904473335,3.5926024702552355,704652.3526190923,0.9578727389636561,0.005231626868294148,0.9340292571884241
Cylindrotheca,$\it{C. closterium}$,515,0.3339231809794975,0.22572503175597275,-151.11386942876368,-164.79486167073617,0.9965970988493249,0.01509095806923844,0.9622417168923516,0.04552415602871383,3.5000000000000004,0.5072159030746708,0.9817599179069851,4051189.967362129,4.999999999999999,0.9633784512842524,0.9482850414692557,0.005826164253561661,0.9253070192943268
Cylindrotheca,$\it{C. closterium}$,658,0.467561760587585,0.4064867841653928,-84.05521254619406,-97.73620478816653,0.9999884428285111,580.2623450562627,0.9632055067713008,1.443962973554437,3.5415068572453507,28.98890181577134,0.9677595032113184,177839.20598536608,3.646057850769996,2797932.5353783634,0.9588404191388153,0.004551889629484322,0.9378516723026906
Dunaliella,$\it{D. salina}$,405,0.2445304551756021,0.09378376394056681,-384.08280224667914,-399.7911200291924,0.9397774844778698,1013885.2939827251,1.1634086617608044,132.78802401464563,3.679038358430484,404.96186595926986,1.163187772632543,2025.9263616137305,3.6797859666731982,6326.872183484802,0.9933589525408362,0.04103199044509306,0.8468641014482206
Dunaliella,$\it{D. salina}$,443,0.18890171450315374,0.06713718494520503,-441.24018258195935,-456.94850036447264,0.4507447969468279,1003233.6469640242,1.1153452900156877,177.61237198318577,3.692468069419964,485.1313866011477,1.115425142697282,151.582775064047,3.692048653652503,395.72549971760725,0.9923319868513159,0.029098347092779888,0.8836050551795218
Dunaliella,$\it{D. salina}$,515,0.13450117306108922,0.03256434195022544,-564.9621330229226,-580.6704508054358,0.9999990662057827,36.910431075453694,1.2416079242667573,1.12964286470882,3.659514742609314,1.6295914125324502,1.1887966722417647,925436.9281662917,3.752886348580449,2101710.6866495716,0.9940712956465891,0.058675066272119734,0.7953306310095719
Dunaliella,$\it{D. salina}$,658,0.0870662301527963,0.021545829138197536,-635.5912257831341,-651.2995435656474,0.9889403604024665,536957.2627905116,1.1747754284700147,107.28839027622922,3.8620885767467676,261.9814521036399,1.1751677260657454,9574.90845172076,3.86112875494093,23590.64188592582,0.9983841777028225,0.06589917633952369,0.7791601893439344
Karenia,$\it{K. mikimotoi}$,405,0.19911575996014924,0.09055008749328157,-255.2431149396661,-268.9241071816386,0.9915538614318629,0.033033305217271956,0.9332990042963498,0.03951868076349714,3.572824283263973,0.25782351119243235,0.9909036195304447,1183481.186760558,4.999999984870645,0.6869557142156998,0.9758664298163947,0.015046493286236974,0.9202831151301205
Karenia,$\it{K. mikimotoi}$,443,0.28832020683778936,0.151560784474057,-196.52358322160103,-210.20457546357352,0.990708863362778,0.009317017862828866,0.9347055478877018,0.04455459213096012,3.500000000236209,0.2715992929869956,1.349968686142905,425151.9146689558,4.9999999999961116,0.7036440106439285,0.9609062046084073,0.013081569250883622,0.913756460783626
Karenia,$\it{K. mikimotoi}$,515,0.2583281333064426,0.12187558367756371,-221.37399220088187,-235.05498444285436,0.9933794377585917,0.008967663308866355,0.9299525171875023,0.041207728057675856,3.5000000000002203,0.23234882102238208,1.3476875085187476,473338.75659262633,4.999999999853584,0.9337754277446695,0.9621544511226024,0.012511496354146834,0.9150919826293988
Karenia,$\it{K. mikimotoi}$,658,0.38543856435394214,0.2590811784880633,-135.40194959756116,-149.08294183953365,0.9901919921593263,0.013414763906667685,0.9410138149187303,0.05575495983248227,3.5000000000014246,0.3796973190528701,0.8000000036167374,1614322.380908196,4.999999999999994,0.706922188846403,0.9588899863698974,0.01232923079461809,0.9151314476508404
Skeletonema,$\it{S. cf. costatum}$,405,0.1689937366864068,0.08922413935200452,-256.9247890243594,-270.6057812663319,0.9961839076342187,0.02091932952172105,0.9480132678269623,0.03187239758560936,3.5179996604263817,0.25723890786854364,0.99725556871145,1244627.438862213,4.999999996482061,0.8172629029543615,0.9606245299610183,0.008545923615746114,0.9267369084660004
Skeletonema,$\it{S. cf. costatum}$,443,0.22843078109539053,0.13252311757800844,-211.82576442045527,-225.50675666242776,0.9999999945925814,0.456447780057044,0.9460847465582992,0.03483394070232784,3.5120856668419598,0.329851548446256,1.0486040896555007,1690660.0071859518,3.8372351566887204,6099748.2704936825,0.9597461493765448,0.006786754269031748,0.9296000498778978
