sample  backscattering ratio (bbp/bp)
Arizona dust  0.0201352
C. autotrophica  0.0073562
C. closterium  0.0113045
D. salina  0.0871129
K. mikimotoi  0.0256559
S. cf. costatum  0.0150452
Beads_3µm  0.0668728
Beads_300nm  0.0337081
Formazin(2ntu)  0.0557714
Formazin(4ntu)  0.0561283
"Angle(deg)"  "pf_Arizona dust"  "pf_C. autotrophica"  "pf_C. closterium"  "pf_D. salina"  "pf_K. mikimotoi"  "pf_S. cf. costatum"  "pf_Beads_3µm"  "pf_Beads_300nm"  "pf_Formazin(2ntu)"  "pf_Formazin(4ntu)"  "pf_std_Arizona dust"  "pf_std_C. autotrophica"  "pf_std_C. closterium"  "pf_std_D. salina"  "pf_std_K. mikimotoi"  "pf_std_S. cf. costatum"  "pf_std_Beads_3µm"  "pf_std_Beads_300nm"  "pf_std_Formazin(2ntu)"  "pf_std_Formazin(4ntu)"
  0.10  6.2578e+02          NA  6.1583e+02  797.649861  1.5798e+03  1.9509e+03  32.1977286         NA  65.7040804  85.9993346  4.4581e+02          NA  4.8124e+01  1.8877e+02  4.3622e+02  2.0125e+02  2.3821e+01          NA  28.709533  25.977656
  0.15  4.1528e+02          NA  6.1638e+02  771.607725  1.7191e+03  1.7195e+03  23.9703890         NA  30.9480603  73.5454814  2.5863e+02          NA  2.9645e+01  1.0322e+02  2.1211e+02  1.1651e+02  1.8118e+01          NA  12.743821  19.266964
  0.20  2.0686e+02          NA  6.5271e+02  886.698127  1.7180e+03  1.3912e+03  29.9194955         NA  52.2883569  92.0287075  1.0759e+02          NA  2.7664e+01  1.0359e+02  1.4669e+02  1.0536e+02  1.1801e+01          NA  11.412482  20.586467
  0.30  1.1581e+02          NA  5.7982e+02  736.720595  1.4972e+03  1.1000e+03  34.1023800         NA  42.0594548  80.0783572  4.3754e+01          NA  2.1240e+01  3.2874e+01  6.2048e+01  6.0787e+01  5.6093e+00          NA   2.699384  17.179967
  0.40  8.5075e+01  5.2071e+01  5.4240e+02  696.656745  1.2458e+03  8.3897e+02  31.3453975         NA  37.3912172  76.6222166  2.0022e+01  1.33169550  1.9949e+01  1.9917e+01  4.7211e+01  5.6891e+01  3.3690e+00          NA   1.764972  17.212459
  0.50  7.1195e+01  5.1102e+01  5.0176e+02  630.840384  9.6389e+02  6.8444e+02  30.6692600         NA  37.6336888  74.7028050  1.1968e+01  0.94395573  1.9295e+01  1.2844e+01  3.3447e+01  4.7941e+01  1.9476e+00          NA   1.286631  16.388824
  0.75  5.9188e+01  4.9426e+01  3.6543e+02  502.960861  4.3258e+02  4.2779e+02  29.6682938  0.7219191  34.4114198  68.5028618  5.9255e+00  0.53393639  1.5536e+01  8.2885e+00  1.4227e+01  3.2464e+01  9.7621e-01  3.1497e-01   0.932923  13.914208
  1.00  4.9657e+01  4.6096e+01  2.6720e+02  375.788063  1.5487e+02  2.8380e+02  28.2077896  0.6824483  31.3952341  59.3025555  2.7721e+00  0.34499573  1.4181e+01  6.3156e+00  4.9826e+00  2.3416e+01  4.5593e-01  1.2313e-01   0.734805  10.764687
  1.25  4.7155e+01  4.5463e+01  2.0074e+02  281.357578  8.3020e+01  2.1543e+02  27.8012975  0.6477158  30.2224079  53.8130596  2.3413e+00  0.31649703  1.2991e+01  4.6390e+00  2.7149e+00  1.6917e+01  2.8690e-01  1.0928e-01   0.649968   8.400259
  1.50  4.4039e+01  4.3967e+01  1.4967e+02  191.051671  6.2566e+01  1.6644e+02  27.1082817  0.5833754  28.9282941  47.7518127  2.0180e+00  0.28265526  1.1107e+01  3.1881e+00  2.0013e+00  1.1680e+01  2.1128e-01  8.4250e-02   0.569308   6.079235
  1.75  4.1235e+01  4.2162e+01  1.2560e+02  120.102966  5.1375e+01  1.3250e+02  26.2983324  0.5622462  27.5044624  42.2280797  1.8638e+00  0.26873526  9.7444e+00  1.9879e+00  1.6182e+00  8.9022e+00  1.7571e-01  5.5627e-02   0.485594   4.404104
  2.00  3.8214e+01  4.0200e+01  1.0367e+02   70.788901  4.0455e+01  1.0601e+02  25.4683820  0.5589467  26.0058385  37.0203133  1.6959e+00  0.24845509  8.3184e+00  1.1596e+00  1.2621e+00  6.5375e+00  1.5914e-01  4.2538e-02   0.435288   3.066408
  2.25  3.5319e+01  3.8262e+01  8.2495e+01   39.226199  3.2181e+01  8.5340e+01  24.6950074  0.5598977  24.5882385  32.4486045  1.5351e+00  0.22496198  6.8417e+00  6.3749e-01  1.0006e+00  4.3283e+00  1.4373e-01  3.4889e-02   0.405043   2.006698
  2.50  3.3176e+01  3.6542e+01  7.6167e+01   23.822629  2.7631e+01  7.3418e+01  24.0357980  0.5599888  23.4039951  29.1089680  1.4656e+00  0.22038258  6.1409e+00  4.1583e-01  8.5727e-01  3.3834e+00  1.3386e-01  2.3131e-02   0.370579   1.418504
  2.75  2.7297e+01  3.3604e+01  5.9948e+01   21.997424  2.1976e+01  5.6972e+01  23.1656667  0.6124258  19.7560885  23.6409374  5.4176e+00  1.16697114  1.1509e+01  5.4288e+00  3.3015e+00  1.1905e+01  4.1616e-01  9.9506e-02   3.260184   3.980324
